iter	RMSE
0	0.4879516457
1	0.4678539542
2	0.4498408166
3	0.4345561374
4	0.4218381136
5	0.4109527217
6	0.401236112
7	0.3927905045
8	0.3856624338
9	0.3792019467
10	0.3735637562
11	0.3686869285
12	0.3643949705
13	0.3591579495
14	0.3556463268
15	0.3511473884
16	0.3477077539
17	0.3431674347
18	0.3389295174
19	0.3359893804
20	0.3328863503
21	0.3271431336
22	0.3237279587
23	0.3198321029
24	0.31605913
25	0.3129948622
26	0.3098216149
27	0.3063593281
28	0.3037170027
29	0.2986917579
30	0.2948077967
31	0.291295519
32	0.2874697063
33	0.2852266014
34	0.2822290027
35	0.2793934806
36	0.2777311791
37	0.2735746514
38	0.2711410549
39	0.2683035784
40	0.2665761259
41	0.2641578583
42	0.2615362198
43	0.2582359244
44	0.2553431793
45	0.252797676
46	0.2504885482
47	0.2484017413
48	0.2459221031
49	0.2444120013
50	0.2418201885
51	0.2401826423
52	0.2378764043
53	0.2363637553
54	0.2340423705
55	0.2318643359
56	0.2303596724
57	0.2284237003
58	0.2269924039
59	0.2253281918
60	0.2236275839
61	0.2229688274
62	0.2220251879
63	0.2208858093
64	0.2189502744
65	0.2178420281
66	0.2166565946
67	0.2152448923
68	0.2146080694
69	0.2134006668
70	0.2122229116
71	0.2110881755
72	0.2094025017
73	0.2078798478
74	0.2063937459
75	0.2052488755
76	0.2036971533
77	0.2029325295
78	0.2021501539
79	0.2005757841
80	0.1995172565
81	0.1981419691
82	0.1974873241
83	0.1964124715
84	0.1954633123
85	0.1942486168
86	0.1932859887
87	0.1919843566
88	0.1907526891
89	0.1896917135
90	0.1883151357
91	0.1874267563
92	0.1860757308
93	0.1850430497
94	0.1842361912
95	0.1830372512
96	0.1817957686
97	0.1808536858
98	0.1797499425
99	0.1786177375
