iter	Passed	Remaining
0	3	373
1	7	347
2	10	335
3	13	330
4	17	324
5	20	318
6	23	314
7	27	311
8	31	313
9	34	308
10	37	303
11	40	298
12	43	293
13	47	289
14	50	285
15	53	281
16	56	277
17	60	275
18	69	297
19	77	308
20	82	309
21	87	309
22	91	306
23	95	303
24	99	299
25	103	294
26	107	290
27	111	286
28	115	282
29	119	279
30	124	277
31	132	281
32	142	288
33	156	302
34	168	313
35	182	325
36	193	330
37	204	333
38	218	341
39	227	340
40	232	334
41	244	337
42	252	335
43	260	331
44	267	326
45	272	319
46	284	321
47	293	318
48	303	315
49	309	309
50	316	304
51	322	297
52	331	293
53	336	287
54	345	282
55	351	276
56	359	271
57	366	265
58	373	259
59	382	254
60	387	247
61	396	242
62	401	235
63	409	230
64	416	224
65	423	218
66	431	212
67	437	205
68	445	200
69	450	193
70	456	186
71	462	179
72	466	172
73	474	166
74	478	159
75	482	152
76	489	146
77	493	139
78	498	132
79	503	125
80	510	119
81	514	112
82	520	106
83	531	101
84	539	95
85	543	88
86	547	81
87	552	75
88	561	69
89	566	62
90	573	56
91	577	50
92	588	44
93	592	37
94	599	31
95	606	25
96	610	18
97	615	12
98	619	6
99	622	0
